a1	a2	a1_BL_ID	a2_BL_ID	totalCollabs	collaborated	distance	duration	a1_LAT	a1_LON	a2_LAT	a2_LON
7542	109406	7508	7579	1	1	983	797	36.0033368637	-78.9359146357	36.0051595258	-78.9391493797
7542	112728	7508	7534	2	1	768	578	36.0033368637	-78.9359146357	36.0072186493	-78.9392995834
7542	113645	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
7542	114477	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
7542	114653	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	115645	7508	8141	3	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
7542	117604	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
7542	118903	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
7542	119545	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
7542	136069	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	137001	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	198756	7508	8141	2	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
7542	203861	7508	8084	2	1	4816	493	36.0033368637	-78.9359146357	36.002196	-78.906105
7542	211383	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
7542	215327	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	231780	7508	8166	6	1	3856	304	36.0033368637	-78.9359146357	35.9908939	-78.909779191
7542	264591	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	267613	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	372271	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	397540	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
7542	414118	7508	7202	1	1	2609	428	36.0033368637	-78.9359146357	36.0049165066	-78.9153903723
7542	438345	7508	7579	9	1	983	797	36.0033368637	-78.9359146357	36.0051595258	-78.9391493797
7542	479376	7508	7579	3	1	983	797	36.0033368637	-78.9359146357	36.0051595258	-78.9391493797
7542	540348	7508	7540	1	1	1600	1218	36.0033368637	-78.9359146357	36.0071861029	-78.9446398616
8125	50686	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	82252	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	108354	7516	7530	2	1	20	12	36.0071644054	-78.9407479763	36.0062183863	-78.9401257038
8125	112010	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	113645	7516	8141	3	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	114383	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	225109	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8125	327334	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8125	384929	7516	7508	6	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8125	413421	7516	7534	1	1	689	516	36.0071644054	-78.9407479763	36.0072186493	-78.9392995834
8125	425689	7516	8141	6	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8125	539383	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8125	557495	7516	8141	2	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8707	23817	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8707	50834	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	51205	7516	8116	6	1	1963	348	36.0071644054	-78.9407479763	36.0076395804	-78.9267522097
8707	68510	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8707	82509	7516	7508	2	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	96084	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	104047	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	112330	7516	7507	1	1	1110	883	36.0071644054	-78.9407479763	36.0030634608	-78.9369499683
8707	115290	7516	8141	5	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
8707	145800	7516	7508	2	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	211349	7516	7507	1	1	1110	883	36.0071644054	-78.9407479763	36.0030634608	-78.9369499683
8707	227304	7516	7507	1	1	1110	883	36.0071644054	-78.9407479763	36.0030634608	-78.9369499683
8707	265192	7516	7508	2	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	265236	7516	7508	3	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	272070	7516	7508	2	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	281657	7516	8116	6	1	1963	348	36.0071644054	-78.9407479763	36.0076395804	-78.9267522097
8707	311336	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	327264	7516	7508	2	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	447232	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	482614	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
8707	507759	7516	7507	6	1	1110	883	36.0071644054	-78.9407479763	36.0030634608	-78.9369499683
8707	557495	7516	8141	2	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
10242	25542	8141	7508	1	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
10242	39318	8141	7508	1	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
10242	52720	8141	7516	1	1	440	336	36.009518555	-78.9416009188	36.0071644054	-78.9407479763
10242	130909	8141	7508	1	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
10242	231780	8141	8166	1	1	4168	322	36.009518555	-78.9416009188	35.9908939	-78.909779191
10242	323949	8141	7508	1	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
10242	323978	8141	7508	1	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
10242	609832	8141	7540	1	1	584	403	36.009518555	-78.9416009188	36.0071861029	-78.9446398616
10320	275014	7534	7735	1	1	1107	817	36.0072186493	-78.9392995834	36.0032934665	-78.9397501945
