7201	0	2	7508	0	2
7202	0	1	7251	0	1
7202	1	5	7508	2	6
7202	5	6	7579	0	1
7202	6	7	7709	0	1
7202	7	8	7735	0	1
7202	8	9	7749	0	1
7202	9	10	7758	0	1
7224	0	1	7261	0	1
7224	1	7	7508	6	12
7224	7	8	7593	0	1
7224	8	9	7705	0	1
7224	9	11	7709	1	3
7224	11	12	7749	1	2
7224	12	14	7753	0	2
7224	14	15	8166	0	1
7251	1	2	7550	0	1
7251	2	3	7738	0	1
7251	3	4	7776	0	1
7261	1	2	7516	0	1
7261	2	3	7753	2	3
7261	3	4	7759	0	1
7501	0	13	7550	1	14
7501	13	15	7709	3	5
7501	15	16	7756	0	1
7501	16	17	7760	0	1
7501	17	21	8141	0	4
7501	21	22	8166	1	2
7506	0	1	7512	0	1
7506	1	2	7514	0	1
7506	2	32	7516	1	31
7506	32	38	7534	0	6
7506	38	45	7540	0	7
7506	45	66	7548	0	21
7506	66	73	7550	14	21
7506	73	75	7576	0	2
7506	75	78	7593	1	4
7506	78	79	7709	5	6
7506	79	89	7735	1	11
7506	89	91	7749	2	4
7506	91	92	7759	1	2
7506	92	97	7776	1	6
7506	97	99	8084	0	2
7506	99	133	8141	4	38
7506	133	156	8166	2	25
7506	156	157	8304	0	1
7507	0	6	7513	0	6
7507	6	15	7514	1	10
7507	15	148	7516	31	164
7507	148	199	7530	0	51
7507	199	200	7531	0	1
7507	200	220	7534	6	26
7507	220	232	7540	7	19
7507	232	286	7548	21	75
7507	286	290	7549	0	4
7507	290	292	7550	21	23
7507	292	293	7560	0	1
7507	293	306	7576	2	15
7507	306	327	7579	1	22
7507	327	328	7593	4	5
7507	328	346	7735	11	29
7507	346	349	7738	1	4
7507	349	351	7747	0	2
7507	351	353	7758	1	3
7507	353	372	7776	6	25
7507	372	377	8084	2	7
7507	377	386	8116	0	9
7507	386	459	8141	38	111
7507	459	467	8166	25	33
7507	467	469	8304	1	3
7508	12	43	7512	1	32
7508	43	118	7513	6	81
7508	118	174	7514	10	66
7508	174	181	7515	0	7
7508	181	966	7516	164	949
7508	966	999	7530	51	84
7508	999	1005	7531	1	7
7508	1005	1048	7534	26	69
7508	1048	1324	7540	19	295
7508	1324	1326	7545	0	2
7508	1326	1588	7548	75	337
7508	1588	1619	7549	4	35
7508	1619	1778	7550	23	182
7508	1778	1787	7560	1	10
7508	1787	1865	7576	15	93
7508	1865	2029	7579	22	186
7508	2029	2104	7593	5	80
7508	2104	2231	7709	6	133
7508	2231	2233	7710	0	2
7508	2233	2336	7735	29	132
7508	2336	2341	7738	4	9
7508	2341	2371	7739	0	30
7508	2371	2378	7747	2	9
7508	2378	2382	7749	4	8
7508	2382	2386	7754	0	4
7508	2386	2390	7756	1	5
7508	2390	2403	7758	3	16
7508	2403	2408	7759	2	7
7508	2408	2420	7760	1	13
7508	2420	2423	7765	0	3
7508	2423	2566	7776	25	168
7508	2566	2612	8084	7	53
7508	2612	2683	8116	9	80
7508	2683	3587	8141	111	1015
7508	3587	3731	8166	33	177
7508	3731	3732	8239	0	1
7508	3732	3783	8304	3	54
7512	32	33	7515	7	8
7512	33	34	7550	182	183
7512	34	37	7709	133	136
7512	37	41	7739	30	34
7512	41	42	7758	16	17
7512	42	43	7759	7	8
7512	43	45	8141	1015	1017
7512	45	52	8166	177	184
7513	81	85	7514	66	70
7513	85	95	7516	949	959
7513	95	96	7530	84	85
7513	96	98	7531	7	9
7513	98	100	7534	69	71
7513	100	106	7540	295	301
7513	106	124	7548	337	355
7513	124	126	7549	35	37
7513	126	127	7560	10	11
7513	127	141	7576	93	107
7513	141	148	7579	186	193
7513	148	152	7709	136	140
7513	152	155	7735	132	135
7513	155	164	7738	9	18
7513	164	168	7747	9	13
7513	168	170	7758	17	19
7513	170	181	7776	168	179
7513	181	184	8084	53	56
7513	184	185	8116	80	81
7513	185	191	8141	1017	1023
7513	191	194	8304	54	57
7514	70	130	7516	959	1019
7514	130	178	7548	355	403
7514	178	201	7549	37	60
7514	201	216	7576	107	122
7514	216	217	7735	135	136
7514	217	218	7747	13	14
7514	218	219	7754	4	5
7514	219	220	7758	19	20
7514	220	221	8116	81	82
7514	221	232	8141	1023	1034
7514	232	233	8304	57	58
7515	8	9	7534	71	72
7515	9	10	7710	2	3
7515	10	25	8166	184	199
7516	1019	1066	7530	85	132
7516	1066	1082	7534	72	88
7516	1082	1286	7540	301	505
7516	1286	1392	7548	403	509
7516	1392	1405	7550	183	196
7516	1405	1407	7560	11	13
7516	1407	1481	7579	193	267
7516	1481	1486	7593	80	85
7516	1486	1544	7735	136	194
7516	1544	1546	7738	18	20
7516	1546	1551	7739	34	39
7516	1551	1566	7747	14	29
7516	1566	1568	7758	20	22
7516	1568	1570	7759	8	10
7516	1570	1572	7760	13	15
7516	1572	1598	7776	179	205
7516	1598	1602	8084	56	60
7516	1602	1649	8116	82	129
7516	1649	1991	8141	1034	1376
7516	1991	2004	8166	199	212
7516	2004	2015	8304	58	69
7530	132	134	7534	88	90
7530	134	161	7540	505	532
7530	161	168	7548	509	516
7530	168	172	7549	60	64
7530	172	174	7550	196	198
7530	174	175	7560	13	14
7530	175	199	7579	267	291
7530	199	200	7593	85	86
7530	200	204	7735	194	198
7530	204	205	7738	20	21
7530	205	207	7776	205	207
7530	207	208	8084	60	61
7530	208	223	8116	129	144
7530	223	274	8141	1376	1427
7530	274	276	8304	69	71
7531	9	11	7548	516	518
7531	11	18	7735	198	205
7531	18	19	7747	29	30
7531	19	22	7776	207	210
7531	22	24	8084	61	63
7534	90	110	7548	518	538
7534	110	112	7549	64	66
7534	112	115	7550	198	201
7534	115	116	7576	122	123
7534	116	122	7579	291	297
7534	122	126	7710	3	7
7534	126	168	7735	205	247
7534	168	170	7738	21	23
7534	170	171	7747	30	31
7534	171	177	7776	210	216
7534	177	189	8084	63	75
7534	189	190	8116	144	145
7534	190	231	8141	1427	1468
7540	532	533	7545	2	3
7540	533	544	7548	538	549
7540	544	560	7550	201	217
7540	560	561	7560	14	15
7540	561	569	7576	123	131
7540	569	634	7579	297	362
7540	634	635	7593	86	87
7540	635	638	7709	140	143
7540	638	644	7735	247	253
7540	644	646	7749	8	10
7540	646	651	7760	15	20
7540	651	652	7765	3	4
7540	652	658	7776	216	222
7540	658	667	8116	145	154
7540	667	724	8141	1468	1525
7540	724	726	8166	212	214
7540	726	734	8304	71	79
7548	549	563	7549	66	80
7548	563	591	7550	217	245
7548	591	612	7576	131	152
7548	612	639	7579	362	389
7548	639	642	7593	87	90
7548	642	643	7709	143	144
7548	643	657	7735	253	267
7548	657	658	7738	23	24
